,classifier,cohort_identifier,cv_index,encoded_features_size,encoded_image_size,encoded_image_size_height,encoded_image_size_width,modality,module,non_varying_features,raw_image_size,raw_image_size_height,raw_image_size_width,training_scores_mean_test_AUC,training_scores_mean_test_Accuracy,training_scores_mean_test_F1,training_scores_mean_train_AUC,training_scores_mean_train_Accuracy,training_scores_mean_train_F1,AUC,Accuracy,Brier_Loss,DP,F1,Log_Loss,P+,P-,Precision,Recall,Specificity,Youdens
387,SVC,ppp1_raw_image_2048x2048,11,2048,,224.0,224.0,ms1_only,resnet_v2_50,1146,,2048.0,2048.0,0.8076109815192107,0.7347417840375586,0.7232601405156966,0.932620903678906,0.8553989335439912,0.8516935142078076,0.7878416537908253,0.7153284671532847,0.18768009357742452,1.0209064215617316,0.7067669172932332,0.5598995191295661,2.6857142857142855,0.42156862745098034,0.7286821705426356,0.6861313868613139,0.7445255474452555,0.43065693430656937
388,LogisticRegression,ppp1_cropped_image_2048x973,1,1056,,224.0,224.0,ms1_only,nasnet_mobile,420,,2048.0,973.0,0.6904533419946655,0.634585289514867,0.6247750960046738,0.8648947686132971,0.7785640226269238,0.7736478176976473,0.68133624593745,0.6313868613138686,0.2278602435257207,0.5995068955895337,0.6130268199233715,0.6575785368639814,1.8181818181818177,0.6129032258064517,0.6451612903225806,0.583941605839416,0.6788321167883211,0.2627737226277371
389,LogisticRegression,ppp1_raw_image_512x512,0,1280,,224.0,224.0,all_modalities,mobilenet_v2_100_224,126114,,512.0,512.0,0.7402390505780236,0.6768388106416275,0.6727999748568543,1.0,0.9998433583959899,0.9998436522826767,0.7622142895199531,0.7043795620437956,0.20343615242799462,0.9692530314541804,0.689655172413793,0.6170626287682558,2.6470588235294112,0.45631067961165056,0.7258064516129032,0.656934306569343,0.7518248175182481,0.4087591240875912
390,XGBoost,ppp1_raw_image_512x512,1,2048,,224.0,224.0,all_modalities,resnet_v2_50,132459,,512.0,512.0,0.8362483308891318,0.7636932707355243,0.7551808554456888,1.0,1.0,1.0,0.8221535510682508,0.7700729927007299,0.18372407451663486,1.3621902563343669,0.7567567567567568,0.6430504287337984,4.083333333333333,0.34513274336283184,0.8032786885245902,0.7153284671532847,0.8248175182481752,0.5401459854014599
391,XGBoost,ppp1_raw_image_2048x2048,1,1280,,128.0,128.0,all_modalities,mobilenet_v2_035_128,91118,,2048.0,2048.0,0.6015360741200053,0.5657276995305164,0.5776498198569747,1.0,1.0,1.0,0.644573498854494,0.6167883211678832,0.25623512925315794,0.5338348631282136,0.5914396887159533,0.7340091136658061,1.7272727272727268,0.6559139784946237,0.6333333333333333,0.5547445255474452,0.6788321167883211,0.23357664233576636
392,SVC,ppp1_cropped_image_512x243,8,1024,,128.0,128.0,ms1_only,mobilenet_v1_100_128,899,,512.0,243.0,0.6324038258591068,0.5774647887323944,0.5689912434657277,0.7935528394702341,0.7111102686359426,0.7069957942895306,0.5946507539027118,0.5620437956204379,0.24468221169326482,0.27506996038330284,0.5620437956204379,0.6830981842661371,1.2833333333333332,0.7792207792207793,0.5620437956204379,0.5620437956204379,0.5620437956204379,0.12408759124087587
393,SVC,ppp1_raw_image_2048x2048,11,2048,,299.0,299.0,all_modalities,inception_v3_imagenet,206841,,2048.0,2048.0,0.818676051963618,0.7480438184663537,0.7389039007386036,0.9994143040011588,0.9923307330239294,0.9923429553094443,0.8080878043582501,0.7481751824817519,0.17673281905992258,1.2183924751514577,0.735632183908046,0.5360101706226298,3.4285714285714293,0.37614678899082565,0.7741935483870968,0.7007299270072993,0.7956204379562044,0.4963503649635037
394,SVC,ppp1_cropped_image_512x243,11,2048,,224.0,224.0,ms1_only,resnet_v2_101,885,,512.0,243.0,0.7750943505586668,0.7128325508607198,0.6966242618713522,0.8820812023551242,0.8150236049786757,0.8063333002903225,0.7892002770525867,0.7043795620437956,0.18767996869388867,0.9591073805007718,0.6988847583643123,0.5532954300444146,2.473684210526316,0.43434343434343425,0.7121212121212122,0.6861313868613139,0.7226277372262774,0.4087591240875913
395,XGBoost,ppp1_raw_image_512x512,1,1536,,299.0,299.0,all_modalities,inception_resnet_v2,155107,,512.0,512.0,0.8271014392902957,0.7519561815336463,0.7440587830296337,1.0,1.0,1.0,0.8094730672918109,0.7262773722627737,0.20601864048463542,1.090452333297054,0.7126436781609196,0.6844297103885951,3.0000000000000004,0.41509433962264153,0.75,0.6788321167883211,0.7737226277372263,0.45255474452554745
396,RandomForest,ppp1_raw_image_2048x2048,1,2048,,299.0,299.0,ms1_only,inception_v3_imagenet,2047,,2048.0,2048.0,0.746591104199543,0.6815336463223787,0.6633486022247083,1.0,1.0,1.0,0.7560605253343278,0.7116788321167883,0.2031458102189781,1.0053452365510505,0.6996197718631177,0.5952324676720083,2.705882352941176,0.43689320388349523,0.7301587301587301,0.6715328467153284,0.7518248175182481,0.42335766423357657
